0.000000e+00	0.000000e+00	5.000000e-01
1.000000e-03	4.999999e-04	4.999998e-01
3.000000e-03	1.499998e-03	4.999983e-01
5.000000e-03	2.499992e-03	4.999953e-01
7.000000e-03	3.499979e-03	4.999908e-01
9.000000e-03	4.499954e-03	4.999848e-01
1.100000e-02	5.499917e-03	4.999773e-01
1.300000e-02	6.499863e-03	4.999683e-01
1.500000e-02	7.499789e-03	4.999578e-01
1.700000e-02	8.499693e-03	4.999458e-01
1.900000e-02	9.499571e-03	4.999323e-01
2.100000e-02	1.049942e-02	4.999173e-01
2.300000e-02	1.149924e-02	4.999008e-01
2.500000e-02	1.249902e-02	4.998828e-01
2.700000e-02	1.349877e-02	4.998633e-01
2.900000e-02	1.449848e-02	4.998423e-01
3.100000e-02	1.549814e-02	4.998198e-01
3.300000e-02	1.649775e-02	4.997958e-01
3.500000e-02	1.749732e-02	4.997703e-01
3.700000e-02	1.849683e-02	4.997433e-01
3.900000e-02	1.949629e-02	4.997148e-01
4.100000e-02	2.049569e-02	4.996849e-01
4.300000e-02	2.149503e-02	4.996534e-01
4.500000e-02	2.249431e-02	4.996204e-01
4.700000e-02	2.349351e-02	4.995859e-01
4.900000e-02	2.449265e-02	4.995499e-01
5.100000e-02	2.549171e-02	4.995124e-01
5.300000e-02	2.649070e-02	4.994734e-01
5.500000e-02	2.748960e-02	4.994329e-01
5.700000e-02	2.848843e-02	4.993910e-01
5.900000e-02	2.948717e-02	4.993475e-01
6.100000e-02	3.048582e-02	4.993025e-01
6.300000e-02	3.148437e-02	4.992560e-01
6.500000e-02	3.248284e-02	4.992080e-01
6.700000e-02	3.348121e-02	4.991586e-01
6.900000e-02	3.447947e-02	4.991076e-01
7.100000e-02	3.547764e-02	4.990551e-01
7.300000e-02	3.647569e-02	4.990012e-01
7.500000e-02	3.747364e-02	4.989457e-01
7.700000e-02	3.847147e-02	4.988888e-01
7.900000e-02	3.946919e-02	4.988303e-01
8.100000e-02	4.046679e-02	4.987704e-01
8.300000e-02	4.146427e-02	4.987089e-01
8.500000e-02	4.246163e-02	4.986460e-01
8.700000e-02	4.345886e-02	4.985816e-01
8.900000e-02	4.445595e-02	4.985156e-01
9.100000e-02	4.545292e-02	4.984482e-01
9.300000e-02	4.644975e-02	4.983793e-01
9.500000e-02	4.744643e-02	4.983089e-01
9.700000e-02	4.844298e-02	4.982370e-01
9.900000e-02	4.943938e-02	4.981636e-01
1.010000e-01	5.043563e-02	4.980887e-01
1.030000e-01	5.143173e-02	4.980123e-01
1.050000e-01	5.242768e-02	4.979344e-01
1.070000e-01	5.342347e-02	4.978550e-01
1.090000e-01	5.441910e-02	4.977742e-01
1.110000e-01	5.541457e-02	4.976918e-01
1.130000e-01	5.640987e-02	4.976079e-01
1.150000e-01	5.740500e-02	4.975226e-01
1.170000e-01	5.839996e-02	4.974358e-01
1.190000e-01	5.939474e-02	4.973474e-01
1.210000e-01	6.038935e-02	4.972576e-01
1.230000e-01	6.138377e-02	4.971663e-01
1.250000e-01	6.237801e-02	4.970735e-01
1.270000e-01	6.337206e-02	4.969792e-01
1.290000e-01	6.436593e-02	4.968834e-01
1.310000e-01	6.535959e-02	4.967861e-01
1.330000e-01	6.635307e-02	4.966874e-01
1.350000e-01	6.734634e-02	4.965871e-01
1.370000e-01	6.833942e-02	4.964854e-01
1.390000e-01	6.933228e-02	4.963822e-01
1.410000e-01	7.032494e-02	4.962775e-01
1.430000e-01	7.131739e-02	4.961713e-01
1.450000e-01	7.230963e-02	4.960636e-01
1.470000e-01	7.330165e-02	4.959544e-01
1.490000e-01	7.429344e-02	4.958437e-01
1.510000e-01	7.528502e-02	4.957316e-01
1.530000e-01	7.627637e-02	4.956179e-01
1.550000e-01	7.726749e-02	4.955028e-01
1.570000e-01	7.825838e-02	4.953862e-01
1.590000e-01	7.924903e-02	4.952681e-01
1.610000e-01	8.023945e-02	4.951486e-01
1.630000e-01	8.122963e-02	4.950275e-01
1.650000e-01	8.221956e-02	4.949050e-01
1.670000e-01	8.320925e-02	4.947809e-01
1.690000e-01	8.419868e-02	4.946554e-01
1.710000e-01	8.518787e-02	4.945284e-01
1.730000e-01	8.617680e-02	4.944000e-01
1.750000e-01	8.716547e-02	4.942700e-01
1.770000e-01	8.815388e-02	4.941386e-01
1.790000e-01	8.914202e-02	4.940057e-01
1.810000e-01	9.012990e-02	4.938713e-01
1.830000e-01	9.111750e-02	4.937354e-01
1.850000e-01	9.210484e-02	4.935981e-01
1.870000e-01	9.309190e-02	4.934592e-01
1.890000e-01	9.407867e-02	4.933189e-01
1.910000e-01	9.506517e-02	4.931771e-01
1.930000e-01	9.605138e-02	4.930339e-01
1.950000e-01	9.703730e-02	4.928891e-01
1.970000e-01	9.802294e-02	4.927429e-01
1.990000e-01	9.900827e-02	4.925952e-01
2.010000e-01	9.999332e-02	4.924460e-01
2.030000e-01	1.009781e-01	4.922954e-01
2.050000e-01	1.019625e-01	4.921433e-01
2.070000e-01	1.029466e-01	4.919897e-01
2.090000e-01	1.039305e-01	4.918346e-01
2.110000e-01	1.049140e-01	4.916781e-01
2.130000e-01	1.058972e-01	4.915201e-01
2.150000e-01	1.068800e-01	4.913606e-01
2.170000e-01	1.078626e-01	4.911996e-01
2.190000e-01	1.088448e-01	4.910372e-01
2.210000e-01	1.098268e-01	4.908733e-01
2.230000e-01	1.108083e-01	4.907080e-01
2.250000e-01	1.117896e-01	4.905411e-01
2.270000e-01	1.127705e-01	4.903728e-01
2.290000e-01	1.137511e-01	4.902031e-01
